id,address,businessName,photoURL,city,state,url,reviewCount,stars,longitude,latitude
1,"Penn Student Health Services Bldg3535 Market StPowelton VillagePhiladelphia, PA 19104",Irie Caribbean Grill,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/irie-caribbean-grill-philadelphia,2,3,-75.193906,39.956432
2,"3513 Lancaster AvePowelton VillagePhiladelphia, PA 19104",Rana Halal Cuisine,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/rana-halal-cuisine-philadelphia,2,2,-75.1928223,39.9582825
3,"3025 Walnut StUniversity CityPhiladelphia, PA 19104",World Cafe Live,http://s3-media3.ak.yelpcdn.com/bphoto/VTDlALkq6VWjZxfPSlN8Fg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/world-cafe-live-philadelphia,158,4,-75.1851366,39.9519872
4,"3401 Walnut StUniversity CityPhiladelphia, PA 19104",CVS/pharmacy,http://s3-media2.ak.yelpcdn.com/bphoto/b6kZjOV6G1p1L_UJdysN_g/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/cvs-pharmacy-philadelphia-49,12,2,-75.193026,39.952998
5,"3218 Market StUniversity CityPhiladelphia, PA 19104",Starbucks,http://s3-media1.ak.yelpcdn.com/bphoto/F6nhU8jSBLh3XEbMYphpmA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/starbucks-philadelphia-8,4,3,-75.1871563,39.9552997
6,"3701 Market StPowelton VillagePhiladelphia, PA 19104",Edward S. Cooper Practice of General Internal Medicine,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/edward-s-cooper-practice-of-general-internal-medicine-philadelphia,3,1,-75.1961361,39.9564491
7,"208 S 40th StUniversity CityPhiladelphia, PA 19104",Smokey Joe's Tavern,http://s3-media2.ak.yelpcdn.com/bphoto/6zXu1J2Cjl2p6ym_reAaaw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/smokey-joes-tavern-philadelphia-2,50,3.5,-75.2027865,39.9536784
8,"3600 Sansom StUniversity CityPhiladelphia, PA 19104",University Club at Penn,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/university-club-at-penn-philadelphia,4,3,-75.1956868,39.9538657
9,"4006 Market StUniversity CityPhiladelphia, PA 19104",Bo Sing,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/bo-sing-philadelphia,3,5,-75.2023056,39.957064
10,"3500 Market StUniversity CityPhiladelphia, PA 19104",Monell Chemical Senses Center,http://s3-media1.ak.yelpcdn.com/bphoto/kO0ZTciikeYP9e0pai9SOg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/monell-chemical-senses-center-philadelphia,2,5,-75.1931726,39.9558853
